timestamp,lat_accel,lat_accel_ff,bearing_feas,bearing_feas_on_track,signed_track_error,track_error_bound,airspeed_ref,bearing,heading_ref,min_ground_speed_ref,adapted_period,p_gain,time_const,can_run_factor,wind_est_valid
103730016,0.8333555,0.0,1.0,1.0,18.248653,28.140347,7.2383747,-0.0068885335,0.18967853,5.0,10.0,0.87964594,7.0,1.0,1
103829975,0.9185407,0.0,1.0,1.0,17.822872,27.983568,7.2513785,0.0051877727,0.19907586,5.0,10.0,0.87964594,7.0,1.0,1
103929691,0.8820582,0.0,1.0,1.0,17.424128,27.276295,7.2496605,0.0019924804,0.19816212,5.0,10.0,0.87964594,7.0,1.0,1
104029405,0.97218037,0.0,1.0,1.0,17.02416,28.025368,7.2833834,0.03821084,0.2224547,5.0,10.0,0.87964594,7.0,1.0,1
104129026,0.8589944,0.0,1.0,1.0,16.618532,26.044304,7.250347,0.0009944887,0.19857933,5.0,10.0,0.87964594,7.0,1.0,1
104228775,0.97931343,0.0,1.0,1.0,16.226652,26.952347,7.2908754,0.04308661,0.2272863,5.0,10.0,0.87964594,7.0,1.0,1
104328962,0.9932776,0.0,1.0,1.0,15.830754,26.28773,7.2922835,0.042066198,0.22818823,5.0,10.0,0.87964594,7.0,1.0,1
104428513,1.0315908,0.0,1.0,1.0,15.458444,26.37584,7.312338,0.06165136,0.24275538,5.0,10.0,0.87964594,7.0,1.0,1
104528376,1.1667421,0.0,1.0,1.0,15.064722,27.37421,7.3526835,0.109299906,0.2744821,5.0,10.0,0.87964594,7.0,1.0,1
104628113,1.0805014,0.0,1.0,1.0,14.678241,25.961592,7.3373637,0.08752032,0.26142907,5.0,10.0,0.87964594,7.0,1.0,1
104728044,1.1430141,0.0,1.0,1.0,14.298241,26.577904,7.3712444,0.12534001,0.28837436,5.0,10.0,0.87964594,7.0,1.0,1
104827688,1.0136931,0.0,1.0,1.0,13.908115,24.537357,7.335855,0.08407015,0.26054525,5.0,10.0,0.87964594,7.0,1.0,1
