timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
89061170,0.007887679,0.0048495983,0.0017868326,4987,0,0.8092628,0.060986426,-9.787748,4905,0,0,2,1
89066157,0.009278157,-0.0010232799,0.008391817,4987,0,0.83937585,-0.017300349,-9.753307,4904,0,0,2,1
89071145,0.010168757,0.0023587886,-0.0076892585,4988,0,0.8299481,-0.05279976,-9.780393,4903,0,0,2,1
89076133,0.018596524,0.0030847401,0.0051011955,4988,0,0.82427907,-0.050319947,-9.812461,4904,0,0,2,1
89081121,0.008896751,-0.0013313702,-0.001042931,4988,0,0.82048845,-0.04405485,-9.844462,4904,0,0,2,1
89086108,0.018797016,0.0054034907,-0.008174346,4987,0,0.8073441,-0.04439891,-9.8255625,4905,0,0,2,1
89091096,0.01049873,0.00018871535,0.0032449714,4988,0,0.7791088,-0.024775052,-9.862966,4904,0,0,2,1
89096083,0.0137378285,-0.0039397078,-0.0070084673,4987,0,0.78286564,-0.011451026,-9.866504,4904,0,0,2,1
89101071,0.012045987,-0.0053488216,0.0060194237,4988,0,0.77721936,-0.0037772914,-9.872029,4905,0,0,2,1
89106059,0.012784966,0.0020246329,-0.0010388235,4988,0,0.7659952,-0.0029452834,-9.813435,4904,0,0,2,1
89111046,0.010875916,0.0036279615,0.007463274,4987,0,0.78477985,-0.013997652,-9.830655,4904,0,0,2,1
89116034,0.020675668,0.00864162,0.007118149,4988,0,0.7810264,0.0016516187,-9.82344,7358,0,0,2,1
89121021,0.016362771,0.0060752705,0.0076091425,4987,0,0.76412326,0.019616751,-9.803581,4905,0,0,2,1
89126009,0.024513798,0.0033073986,0.010426821,4988,0,0.75093025,0.023969095,-9.835595,4902,0,0,2,1
89130996,0.022760656,0.000127169,0.015377285,4987,0,0.74908453,-0.04670458,-9.802877,4904,0,0,2,1
89135984,0.023712205,0.0006474323,0.007396944,4988,0,0.77349687,-0.049941894,-9.833189,4904,0,0,2,1
89140972,0.024734098,0.0033808346,0.018099189,4988,0,0.7772588,-0.05186988,-9.831338,4904,0,0,2,1
89145960,0.024881652,-0.00053939334,0.0051890737,4988,0,0.78667194,-0.03885517,-9.817885,4904,0,0,2,1
89150947,0.032610156,0.004522827,0.01092083,4987,0,0.79606915,-0.019850329,-9.821325,4904,0,0,2,1
89155935,0.034102175,0.0008373394,0.011491515,4988,0,0.7641076,-0.01606311,-9.821227,4904,0,0,2,1
89160922,0.029035341,0.0040000277,0.004575653,4987,0,0.7547119,-0.025561513,-9.81951,4906,0,0,2,1
89165910,0.03750395,-0.0045673964,0.004038317,4988,0,0.77537787,0.010653678,-9.8320875,4902,0,0,2,1
89170898,0.0327643,0.0028223752,0.0048699453,4988,0,0.74905336,-0.004457809,-9.834223,4905,0,0,2,1
89175886,0.038355533,0.003541827,0.003386012,4988,0,0.77350986,-0.025565531,-9.819521,4904,0,0,2,1
89180873,0.040059797,0.00077144615,0.0033863683,4987,0,0.76600045,-0.042881437,-9.804713,4904,0,0,2,1
89185861,0.03766584,8.020362e-05,0.006253669,4988,0,0.750961,-0.042848594,-9.806588,4904,0,0,2,1
89190848,0.038942244,-0.0018482506,0.003926284,4987,0,0.75471425,-0.040746838,-9.817888,4905,0,0,2,1
89195836,0.036600474,0.0004016789,0.0061539933,4988,0,0.78478295,-0.03489611,-9.827257,4904,0,0,2,1
89200824,0.035160173,0.005184954,0.003845178,4988,0,0.74907345,-0.057860013,-9.814417,4904,0,0,2,1
89205811,0.03512015,-0.0024837633,0.018354561,4987,0,0.78101945,-0.057547584,-9.831445,4903,0,0,2,1
89210799,0.032876182,-0.00084935746,0.010503091,4988,0,0.747184,-0.07662429,-9.8242035,4904,0,0,2,1
89215788,0.033459753,-0.0020432586,0.008775352,4989,0,0.7715993,-0.07610566,-9.852556,4903,0,0,2,1
89220774,0.032402698,0.010647576,0.016893465,4986,0,0.7772681,-0.067194104,-9.822168,4903,0,0,2,1
89225762,0.032078546,0.004239826,0.0118749505,4988,0,0.7509487,-0.021777902,-9.81943,4905,0,0,2,1
